customerID,gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaymentMethod,MonthlyCharges,TotalCharges,Churn,State
9420-LOJKX,Female,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Credit card (automatic),99.1$,1426.4,Churned,"Texas, USA"
6575-SUVOI,Female,Yes,Yes,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Credit card (automatic),69.5$,1752.65,Stayed,"Texas, USA"
7495-OOKFY,Female,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Credit card (automatic),80.65$,633.3,Churned,"Texas, USA"
4667-QONEA,Female,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),74.85$,4456.35,Stayed,"California, USA"
1658-BYGOY,Male,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,95.45$,1752.55,Churned,"New York, USA"
8769-KKTPH,Female,No,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Credit card (automatic),99.65$,6311.2,Stayed,"New York, USA"
5067-XJQFU,Male,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Electronic check,108.45$,7076.35,Stayed,"Florida, USA"
3957-SQXML,Female,No,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),24.95$,894.3,Stayed,"Texas, USA"
5954-BDFSG,Female,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),107.5$,7853.7,Stayed,"Florida, USA"
0434-CSFON,Female,No,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Electronic check,100.5$,4707.1,Stayed,"Florida, USA"
1215-FIGMP,Male,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Bank transfer (automatic),89.9$,5450.7,Stayed,"Texas, USA"
0526-SXDJP,Male,No,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Bank transfer (automatic),42.1$,2962.0,Stayed,"California, USA"
0557-ASKVU,Female,No,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Credit card (automatic),54.4$,957.1,Stayed,"New York, USA"
5698-BQJOH,Female,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Electronic check,94.4$,857.25,Churned,"Florida, USA"
5122-CYFXA,Female,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Electronic check,75.3$,244.1,Stayed,"Florida, USA"
8627-ZYGSZ,Male,No,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Electronic check,78.9$,3650.35,Stayed,"New York, USA"
3410-YOQBQ,Female,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Mailed check,79.2$,2497.2,Stayed,"Texas, USA"
3170-NMYVV,Female,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.15$,930.9,Stayed,"California, USA"
7410-OIEDU,Male,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Mailed check,79.85$,887.35,Stayed,"Florida, USA"
2273-QCKXA,Male,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Mailed check,49.05$,49.05,Stayed,"New York, USA"
0731-EBJQB,Female,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Electronic check,20.4$,1090.65,Stayed,"Texas, USA"
1891-QRQSA,Male,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),111.6$,7099.0,Stayed,"Texas, USA"
8028-PNXHQ,Male,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),24.25$,1424.6,Stayed,"Texas, USA"
5630-AHZIL,Female,No,No,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),64.5$,177.4,Stayed,"California, USA"
2673-CXQEU,Female,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Electronic check,110.5$,6139.5,Stayed,"Florida, USA"
6416-JNVRK,Female,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,Credit card (automatic),55.65$,2688.85,Stayed,"New York, USA"
5590-ZSKRV,Female,No,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Mailed check,54.65$,482.25,Stayed,"Florida, USA"
0191-ZHSKZ,Male,Yes,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Electronic check,74.75$,2111.3,Stayed,"Texas, USA"
3887-PBQAO,Female,No,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),25.9$,1216.6,Stayed,"New York, USA"
5919-TMRGD,Female,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Electronic check,79.35$,79.35,Churned,"Florida, USA"
8108-UXRQN,Female,No,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Electronic check,50.55$,565.35,Stayed,"Florida, USA"
9191-MYQKX,Female,No,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Bank transfer (automatic),75.15$,496.9,Churned,"Florida, USA"
9919-YLNNG,Female,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.8$,4327.5,Stayed,"Florida, USA"
0318-ZOPWS,Female,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.15$,973.35,Stayed,"New York, USA"
4445-ZJNMU,Male,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Credit card (automatic),99.3$,918.75,Stayed,"Florida, USA"
4808-YNLEU,Female,No,Yes,35,Yes,No,DSL,Yes,No,No,No,Yes,No,Bank transfer (automatic),62.15$,2215.45,Stayed,"New York, USA"
1862-QRWPE,Female,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),20.65$,1057.0,Stayed,"Texas, USA"
2796-NNUFI,Female,No,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.95$,927.1,Stayed,"Texas, USA"
3016-KSVCP,Male,No,Yes,29,No,No phone service,DSL,No,No,No,No,Yes,No,Mailed check,33.75$,1009.25,Stayed,"Florida, USA"
4767-HZZHQ,Male,No,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Bank transfer (automatic),82.05$,2570.2,Stayed,"California, USA"
2424-WVHPL,Male,Yes,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Electronic check,74.7$,74.7,Stayed,"California, USA"
7233-PAHHL,Male,No,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Mailed check,84.0$,5714.25,Stayed,"Texas, USA"
6067-NGCEU,Female,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),111.05$,7107.0,Stayed,"Florida, USA"
9848-JQJTX,Male,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),100.9$,7459.05,Stayed,"Florida, USA"
8637-XJIVR,Female,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Electronic check,78.95$,927.35,Churned,"New York, USA"
9803-FTJCG,Male,No,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Credit card (automatic),66.85$,4748.7,Stayed,"Texas, USA"
0278-YXOOG,Male,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,21.05$,113.85,Churned,"Florida, USA"
3212-KXOCR,Male,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),21.0$,1107.2,Stayed,"Texas, USA"
4598-XLKNJ,Female,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Electronic check,98.5$,2514.5,Churned,"Texas, USA"
6380-ARCEH,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.2$,20.2,Stayed,"Texas, USA"
3679-XASPY,Female,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Electronic check,19.45$,19.45,Stayed,"Florida, USA"
7123-WQUHX,Male,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Bank transfer (automatic),95.0$,3605.6,Stayed,"Florida, USA"
5386-THSLQ,Female,Yes,Yes,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,Bank transfer (automatic),45.55$,3027.25,Stayed,"California, USA"
3192-NQECA,Male,No,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.0$,7611.85,Churned,"California, USA"
6180-YBIQI,Male,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Mailed check,24.3$,100.2,Stayed,"California, USA"
6728-DKUCO,Female,No,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Electronic check,104.15$,7303.05,Stayed,"New York, USA"
9750-BOOHV,Female,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,Mailed check,30.15$,927.65,Stayed,"Texas, USA"
8597-CWYHH,Male,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mailed check,94.35$,3921.3,Stayed,"Florida, USA"
2848-YXSMW,Male,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),19.4$,1363.25,Stayed,"Texas, USA"
0486-HECZI,Male,No,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Electronic check,96.75$,5238.9,Churned,"California, USA"
4549-ZDQYY,Female,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Credit card (automatic),57.95$,3042.25,Stayed,"New York, USA"
5712-AHQNN,Female,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Electronic check,91.65$,3954.1,Stayed,"Texas, USA"
4846-WHAFZ,Female,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Electronic check,76.5$,2868.15,Churned,"California, USA"
5256-SKJGO,Female,No,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Electronic check,54.6$,3423.5,Stayed,"Florida, USA"
3071-VBYPO,Male,No,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Electronic check,89.85$,248.4,Stayed,"New York, USA"
9560-BBZXK,Female,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Bank transfer (automatic),31.05$,1126.35,Stayed,"California, USA"
5299-RULOA,Female,No,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Electronic check,100.25$,1064.65,Churned,"Texas, USA"
8402-OOOHJ,Female,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.65$,835.15,Stayed,"Florida, USA"
9445-ZUEQE,Male,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Credit card (automatic),85.2$,2151.6,Stayed,"Florida, USA"
1091-SOZGA,Female,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Credit card (automatic),99.8$,5515.45,Stayed,"California, USA"
2928-HLDBA,Female,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.7$,112.75,Stayed,"Florida, USA"
0404-SWRVG,Male,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Electronic check,74.4$,229.55,Churned,"New York, USA"
6497-TILVL,Female,No,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Mailed check,50.7$,350.35,Stayed,"California, USA"
7219-TLZHO,Female,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.85$,62.9,Stayed,"California, USA"
4622-YNKIJ,Male,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Electronic check,88.95$,3027.65,Stayed,"Florida, USA"
4412-YLTKF,Female,Yes,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Electronic check,78.05$,2135.5,Churned,"Florida, USA"
6734-PSBAW,Male,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),23.55$,1723.95,Stayed,"Texas, USA"
3930-ZGWVE,Male,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.75$,19.75,Stayed,"New York, USA"
2639-UGMAZ,Male,Yes,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Electronic check,56.45$,3985.35,Stayed,"New York, USA"
2876-GZYZC,Female,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Electronic check,85.95$,1215.65,Stayed,"California, USA"
6207-WIOLX,Female,No,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),58.6$,1502.65,Churned,"California, USA"
8587-XYZSF,Male,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,Bank transfer (automatic),50.55$,3260.1,Stayed,"California, USA"
3091-FYHKI,Male,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Electronic check,35.45$,35.45,Churned,"Texas, USA"
2372-HWUHI,Male,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Electronic check,44.35$,81.25,Churned,"California, USA"
7799-LGRDP,Female,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Credit card (automatic),25.7$,1188.2,Stayed,"New York, USA"
7850-VWJUU,Female,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Bank transfer (automatic),75.0$,1778.5,Stayed,"Texas, USA"
3774-VBNXY,Female,No,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.2$,1277.75,Stayed,"California, USA"
6217-KDYWC,Male,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.6$,1170.55,Stayed,"Florida, USA"
0390-DCFDQ,Female,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Mailed check,70.45$,70.45,Churned,"New York, USA"
3146-MSEGF,Female,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),88.05$,6425.65,Stayed,"Texas, USA"
4080-OGPJL,Female,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Electronic check,71.15$,563.65,Churned,"Florida, USA"
1095-WGNGG,Female,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Bank transfer (automatic),101.05$,5971.25,Stayed,"Florida, USA"
2636-SJDOU,Male,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Credit card (automatic),84.3$,5289.05,Stayed,"New York, USA"
,Male,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),23.95$,1756.2,Stayed,"New York, USA"
5716-EZXZN,Female,No,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Credit card (automatic),99.05$,6416.7,Stayed,"Florida, USA"
6837-BJYDQ,Male,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.6$,61.35,Stayed,"Florida, USA"
2135-RXIHG,Male,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Electronic check,45.65$,45.65,Churned,"California, USA"
6440-DKQGE,Male,No,No,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Credit card (automatic),64.5$,1929.95,Stayed,"California, USA"
3466-BYAVD,Male,No,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Mailed check,69.5$,1071.4,Stayed,"Florida, USA"
3780-YVMFA,Female,No,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Electronic check,68.55$,564.35,Stayed,"New York, USA"
3874-EQOEP,Male,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mailed check,95.0$,655.5,Churned,"Texas, USA"
1679-JRFBR,Female,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),108.15$,7930.55,Stayed,"Texas, USA"
9073-ZZIAY,Male,No,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,86.1$,5215.25,Stayed,"Florida, USA"
3077-RSNTJ,Female,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.7$,113.5,Stayed,"Texas, USA"
6551-GNYDG,Female,No,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Bank transfer (automatic),80.9$,1152.8,Stayed,"Texas, USA"
9167-APMXZ,Female,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Bank transfer (automatic),84.15$,1821.95,Stayed,"Texas, USA"
2749-CTKAJ,Male,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.15$,419.9,Stayed,"Florida, USA"
6371-NZYEG,Male,No,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Mailed check,64.25$,1024.0,Stayed,"Florida, USA"
7554-NEWDD,Male,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Bank transfer (automatic),25.7$,251.6,Stayed,"New York, USA"
8992-VONJD,Female,No,No,13,Yes,No,DSL,Yes,Yes,No,No,No,No,Electronic check,56.0$,764.55,Stayed,"California, USA"
0867-MKZVY,Female,No,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Electronic check,82.4$,1592.35,Churned,"Florida, USA"
4482-EWFMI,Female,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Electronic check,69.7$,135.2,Stayed,"Texas, USA"
4648-YPBTM,Male,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Bank transfer (automatic),73.9$,3958.25,Stayed,"Florida, USA"
2907-ILJBN,Female,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,20.6$,233.9,Stayed,"Florida, USA"
6345-FZOQH,Male,No,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mailed check,19.9$,1363.45,Stayed,"New York, USA"
3376-BMGFE,Female,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Bank transfer (automatic),70.9$,273.0,Churned,"Florida, USA"
5997-OPVFA,Male,No,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),89.05$,6254.45,Stayed,"Florida, USA"
